"","x"
"A26092",0.285930539412975
"A28298",11.151291037106
"A29968",6.38578204688977
"A30402",2.85930539412975
"A30442",0.0953101798043249
"A30483",0
"A36581",2.09682395569515
"A36643",0.285930539412975
"A38258",20.0151377589082
"A41307",141.24968647001
"A41308",26.114989266385
"A42231",3.52647665276002
"A42234",75.7715929444383
"A43978",8.57791618238924
"A43998",45.9395066656846
"A45612",1.23903233745622
"A45613",15.249628768692
"A48884",1.23903233745622
"A48901",25.3525078279504
"A50274",96.1679714225639
"A50883",0
"A50893",65.2874731659626
"A50898",52.0393581731614
"A50919",3.52647665276002
"A50948",2.6686850345211
"A50949",2.76399521432542
"A53044",2.6686850345211
"A56253",315.667315511924
"A59474",0
"A59475",4.9561293498249
"A61556",25.4478180077548
"A85746",27.1634012442326
"A87137",23.9228551308856
