"","just","right"
"A26092",0.0615433173335074,0.307716586667537
"A28298",1.35395298133716,0.892378101335857
"A29968",0.184629952000522,0.492346538668059
"A30402",0.338488245334291,0.276944928000783
"A30442",0.0923149760002611,0.0923149760002611
"A30483",0,0.0307716586667537
"A36581",0.184629952000522,0.523118197334813
"A36643",0.0923149760002611,0.0923149760002611
"A38258",3.60028406401018,2.33864605867328
"A41307",2.40018937600679,12.9240966400365
"A41308",0.461574880001305,1.63089790933795
"A42231",0.0307716586667537,0.676976490668581
"A42234",22.3709958507299,55.973647114825
"A43978",1.56935459200444,18.370680224052
"A43998",3.10793752534212,22.0940509227291
"A45612",0.153858293333768,0.246173269334029
"A45613",0.430803221334552,7.38519808002088
"A48884",0.430803221334552,2.61559098667406
"A48901",2.33864605867328,36.9259904001044
"A50274",3.63105572267694,6.40050500268477
"A50883",0.123086634667015,0.153858293333768
"A50893",1.41549629867067,6.61590661335204
"A50898",2.49250435200705,2.5232760106738
"A50919",1.56935459200444,1.53858293333768
"A50948",0.369259904001044,0.307716586667537
"A50949",0.923149760002611,1.53858293333768
"A53044",0.861606442669103,0.307716586667537
"A56253",1.16932302933664,5.63121353601592
"A59474",0.0615433173335074,0
"A59475",0.215401610667276,0.430803221334552
"A61556",0.400031562667798,2.70790596267432
"A85746",1.60012625067119,18.7707117867198
"A87137",0.307716586667537,4.55420548267955
